Date CreatedTweet Content
2015-09-24 18:09:59,RT @BillieJeanKing: Here's to all the women proving we can do and be anything we dream. Join #WomenForHillary (and watch this video!): http…
2015-09-24 18:02:19,"This is our country, and we won’t stay trapped beneath glass. Join #WomenforHillary: http://t.co/RQ8cDCw0GU
https://t.co/6WL9CVVmA2"
2015-09-24 17:38:04,"Thank you, @Pontifex. We have much to do to care for our planet, strengthen economic opportunity, and defend the rights &amp; dignity of all. -H"
2015-09-24 17:09:11,"""A feminist is by definition someone who believes in equal rights."" —Hillary to Lena Dunham: http://t.co/GEjgbbBH5n http://t.co/n1jSaz4HnX"
2015-09-24 15:46:21,".@lenadunham: ""Do you consider yourself a feminist?""
Hillary: ""Yes. Absolutely."" http://t.co/GEjgbbBH5n http://t.co/mAIB4bL28z"
2015-09-24 12:06:04,It’s not enough to condemn campus sexual assault. We need to end it. http://t.co/M7x2xuNwpb
2015-09-24 02:04:03,"We must renew the basic bargain of America: If you work hard and you do your part, you should be able to get ahead and stay ahead."
2015-09-23 22:21:38,"☝️ No, really—read Hillary’s comprehensive plan for lowering health care costs for working families: http://t.co/7f9XkUYrBP"
2015-09-23 22:14:33,"Lower health care costs means families should see savings, not insurance companies. Hillary's plan addresses this. https://t.co/3vIluYFcz3"
2015-09-23 20:57:31,Hillary opposes the Keystone pipeline. Read why: http://t.co/Yttouh5fA4 http://t.co/C85aNV07ii
2015-09-23 19:50:28,RT @rosenbergerlm: An important show of support from women in the Senate for courageous women political prisoners. #FreeThe20. http://t.co/…
2015-09-23 18:48:05,Why Hillary opposes the Keystone pipeline: http://t.co/Yttouh5fA4 http://t.co/pnoQAX4P7Z
2015-09-23 17:45:12,"Diversity is a strength, not a weakness. The GOP disagrees: https://t.co/uirbqn8YAq"
2015-09-23 15:38:36,"""Baseball is 90% mental—the other half is physical."" Yogi gave everything at least 140%. We'll miss him. My prayers are with his family. -H"
2015-09-23 14:24:37,"RT @TheBriefing2016: GOP vision for our country: ""We should not have a multicultural society."" So much for America the beautiful.
https://t…"
2015-09-23 13:04:50,RT @BrynneCraig: Listening to @HillaryClinton on @TJMShow NOW. Listen: http://t.co/vE2wYNPAuo
2015-09-23 12:42:43,Hillary is joining Tom Joyner on the @TJMShow! Tune in → http://t.co/dpg08DaOwu
2015-09-23 02:04:30,Good that Turing will lower an essential drug's price. Hillary's plan would prevent price gouging in the first place: http://t.co/bcNtasrkMN
2015-09-23 00:56:29,Time to invest in a clean energy future—not build a pipeline to carry our continent's dirtiest fuel across the US. I oppose Keystone XL. -H
