Date CreatedTweet Content
2015-09-25 20:37:26,".@THR ""The Donald Trump Ratings Bump: Who's Benefiting Most?"" http://t.co/uNdO1kRfus"
2015-09-25 20:22:38,RT @sethweathers: New Poll: @realDonaldTrump maintains huge lead (31%) in Georgia! #Trump2016 https://t.co/Jnam4uvKvA
2015-09-25 19:36:36,.@TheHill- Trump on Boehner resignation: 'It's a good thing' http://t.co/flB93n4FoK
2015-09-25 19:19:29,.....Has worst attendance record in Senate- rarely there to vote on a bill! @marcorubio
2015-09-25 19:18:59,.@MarcoRubio is weak on illegal immigration and will allow anyone into the country.....
2015-09-25 18:51:35,"Dishonest @politico just called to say that none of the polls including Fox, NBC, CNN, Zogby, &amp; Morning Consult matter. Serious haters."
2015-09-25 18:36:19,At the Old Post Office- http://t.co/8Rs1fbcAIz
2015-09-25 18:10:08,I am now inspecting the Old Post Office on Pennsylvania Avenue - will be a great hotel. Soon off to the Oklahoma State Fair!
2015-09-25 17:06:46,.....Ahead of schedule and under budget! Will be in Oklahoma tonight!
2015-09-25 17:06:06,Great reception in D.C. At the Values Voter Summit. Now checking on my job at the Old Post Office...
2015-09-25 16:42:21,"RT @daveweigel: Packed #VVS15 ballroom for @realDonaldTrump. Biggest, classiest crowd so far http://t.co/cTcnvhlrc2"
2015-09-25 03:59:44,"""@Rketeltas:  @JoeMarzocco Waiting for the biased media to write about the 30,000 Carly fired as a failed CEO. America is for Trump!"""
2015-09-25 03:55:24,".@megynkelly, the @FoxNews   poll said very plainly I came in second in the debate. All others, Time, Drudge, Slate etc. said I came in 1st."
2015-09-25 03:48:57,"""@JoeMarzocco: @realDonaldTrump They attack Trump for not giving policy http://t.co/oEnDff1jkD is the most important detail, he WINS."""
2015-09-25 03:48:23,"""@yayala19:  @marcorubio WHAT THE LOBBYISTS, THE MEDIA AND CAREER POLITICIANS WILL DO NEXT TO TRY TO STOP TRUMP? SILENT MAJORITY IS BACK"""
2015-09-25 03:23:51,"Just watched @marcorubio on television. Just another all talk, no action, politician. Truly doesn't have a clue! Worst voting record in Sen."
2015-09-25 03:11:28,"""@yayala19: @politico WHEN THE OTHER CANDIDATES ARE TALKING POLITICS TRUMP IS TALKING SOLUTIONS. HE IS THE MOST TALENTED CANDIDATE."""
